feature,coefficient,odds_ratio
Sex,1.241821686870185,3.4619142477242133
Ca,1.0932348042553783,2.9839108451228653
Slope_2,0.924667866572546,2.521030802690789
Thal_reversable,0.8902657810160901,2.4357769485387553
ExAng,0.6358453222947633,1.8886179577401385
RestECG_2,0.3744776770901407,1.4542316377104139
RestBP,0.3042233549004418,1.355571795882716
Oldpeak,0.20467162669450273,1.2271220446741886
Chol,0.18490272546521577,1.2031014033061316
Slope_3,0.08737063060466906,1.0913010743501974
RestECG_1,-0.08348902798073946,0.9199011797893278
Age,-0.09273754240522393,0.9114326813366712
Fbs,-0.24299814479044,0.7842729687609161
MaxHR,-0.4143460379540733,0.6607722594194072
ChestPain_nontypical,-0.4982548267255625,0.6075900849815389
Thal_normal,-0.5293101376536916,0.5890111661775118
ChestPain_nonanginal,-1.1586662071946903,0.31390458546571326
ChestPain_typical,-1.1880720287458477,0.3048083596886113
