feature,importance_mean,importance_std
Ca,0.09776334776334787,0.03528131150822825
ChestPain,0.026154401154401263,0.009339533525252249
Thal,0.013419913419913514,0.009960630384454397
Oldpeak,0.013311688311688434,0.004164909394998675
MaxHR,0.012626262626262715,0.008789288503804359
ExAng,0.01204906204906212,0.0046400967361655155
Slope,0.01194083694083704,0.008987608541333953
RestBP,0.00876623376623387,0.005962866273206031
Sex,0.005663780663780756,0.009005834895536793
Fbs,0.0018759018759019234,0.0016515906410187152
RestECG,0.0012987012987013917,0.003690248730893068
Chol,0.0010101010101010647,0.003566870734288113
Age,0.0009018759018759444,0.001876248719184113
